feature,importance
DEBTINC,0.1365992218038173
VALUE,0.12549682754046587
CLAGE,0.12188082941650942
LOAN,0.10546742880317685
CLNO,0.0979102793743319
MORTDUE,0.0941169504614686
YOJ,0.06221365262437988
DELINQ,0.04778860299501044
NINQ,0.04730179073815186
DEROG,0.03607299527134254
DEBTINC_missing,0.02761952041051659
VALUE_missing,0.025282955939227626
JOB_Missing,0.01672649123552531
REASON_HomeImp,0.014953489181097113
JOB_Sales,0.013106484187201697
REASON_Missing,0.006915086811420274
JOB_Other,0.006811491338271224
JOB_Office,0.005091193760619066
JOB_ProfExe,0.004774522743224593
MORTDUE_missing,0.002677995575747661
JOB_Self,0.001192189788494125
