feature,permutation_importance_mean,permutation_importance_std
DEBTINC,0.12257554314528052,0.005546160156624161
CLAGE,0.03985185968167852,0.005448833762038884
VALUE,0.03929789945328248,0.0016548311090946503
DELINQ,0.035632757645336376,0.0018010365242230903
MORTDUE,0.029277678926217687,0.0014956090874769594
CLNO,0.027168323653710403,0.002182029374789921
LOAN,0.01828616841565429,0.0026248655335427994
YOJ,0.017043183450878695,0.0025992634405336656
JOB,0.011981983569109112,0.0019655045796255575
DEROG,0.009489749778318157,0.0005737077998270544
NINQ,0.009421630287335248,0.001642746965670477
REASON,0.002179823711455331,0.0006885737064178781
