,count,mean,std,min,25%,50%,75%,max,missing_%,skew
LOAN,5960.0,18607.96979865772,11207.480416694003,1100.0,11100.0,16300.0,23300.0,89900.0,0.0,2.02
MORTDUE,5442.0,73760.817199559,44457.60945841593,2063.0,46276.0,65019.0,91488.0,399550.0,8.69,1.81
VALUE,5848.0,101776.04874145007,57385.775333702615,8000.0,66075.5,89235.5,119824.25,855909.0,1.88,3.05
YOJ,5445.0,8.922268135904499,7.573982248898866,0.0,3.0,7.0,13.0,41.0,8.64,0.99
DEROG,5252.0,0.2545696877380046,0.8460467770863184,0.0,0.0,0.0,0.0,10.0,11.88,5.32
DELINQ,5380.0,0.4494423791821561,1.1272659176049724,0.0,0.0,0.0,0.0,15.0,9.73,4.02
CLAGE,5652.0,179.76627518656605,85.81009176356652,0.0,115.11670223,173.46666667,231.56227814,1168.2335609,5.17,1.34
NINQ,5450.0,1.1860550458715597,1.728674971208052,0.0,0.0,1.0,2.0,17.0,8.56,2.62
CLNO,5738.0,21.29609620076682,10.138933192458635,0.0,15.0,20.0,26.0,71.0,3.72,0.78
DEBTINC,4693.0,33.779915348721126,8.60174618632853,0.5244992154,29.140031372,34.818261819,39.003140628,203.31214869,21.26,2.85
