feature,importance
DEBTINC_missing,0.3300222556971646
CLAGE,0.11708490138124288
DEBTINC,0.113789456911798
VALUE,0.06968544504609625
DELINQ,0.06414268156681281
MORTDUE,0.059598551112916
LOAN,0.05166567887530885
CLNO,0.0439361868856854
YOJ,0.036223423742558464
DEROG,0.028936608425441344
VALUE_missing,0.02226838008306626
NINQ,0.01983052350605
JOB_Missing,0.01018618401257926
JOB_ProfExe,0.006945540483793975
JOB_Sales,0.0066630469805078725
JOB_Office,0.005635738047889324
JOB_Other,0.0029998681042380194
REASON_HomeImp,0.0028348577886391163
JOB_Self,0.002789019552557755
MORTDUE_missing,0.002458936270292351
REASON_Missing,0.002302715525361649
