feature,permutation_importance_mean,permutation_importance_std
DEBTINC,0.09403895730199834,0.004375061861614158
CLAGE,0.04086425625456329,0.004604333214117369
DELINQ,0.03728211060804474,0.0010192312617305493
VALUE,0.0367336312582335,0.0022982201533764905
CLNO,0.024084546467084446,0.0012527496146659337
MORTDUE,0.02309955428712367,0.0030673292793499396
YOJ,0.017517670939794505,0.0020425181247654056
JOB,0.016875625162713615,0.002987858990108061
LOAN,0.01590237772257741,0.0037730594892640312
DEROG,0.011626900935077034,0.0006679138068417457
NINQ,0.00963812499143608,0.0008064658631386809
REASON,0.0009250940068550762,0.0005834489704050792
