model,threshold,recovery_rate,interest_rate,false_negative_loss,false_positive_loss,total_expected_loss,average_expected_loss,loss_given_default,false_negative_loan_value,false_positive_loan_value
Random Forest,0.08,0.2,0.02,72000.0,146280.0,218280.0,122.08053691275168,0.8,90000.0,7314000.0
Random Forest,0.08,0.2,0.03,72000.0,219420.0,291420.0,162.98657718120805,0.8,90000.0,7314000.0
XGBoost,0.06,0.2,0.04,150960.0,210832.0,361792.0,202.34451901565996,0.8,188700.0,5270800.0
XGBoost,0.06,0.2,0.05,150960.0,263540.0,414500.0,231.82326621923937,0.8,188700.0,5270800.0
XGBoost,0.06,0.2,0.06,150960.0,316248.0,467208.0,261.3020134228188,0.8,188700.0,5270800.0
XGBoost,0.06,0.2,0.07,150960.0,368956.0,519916.0,290.7807606263982,0.8,188700.0,5270800.0
XGBoost,0.06,0.2,0.08,150960.0,421664.0,572624.0,320.2595078299776,0.8,188700.0,5270800.0
Random Forest,0.08,0.3,0.02,63000.0,146280.0,209280.0,117.04697986577182,0.7,90000.0,7314000.0
Random Forest,0.08,0.3,0.03,63000.0,219420.0,282420.0,157.95302013422818,0.7,90000.0,7314000.0
XGBoost,0.06,0.3,0.04,132090.0,210832.0,342922.0,191.79082774049218,0.7,188700.0,5270800.0
XGBoost,0.06,0.3,0.05,132090.0,263540.0,395630.0,221.2695749440716,0.7,188700.0,5270800.0
XGBoost,0.06,0.3,0.06,132090.0,316248.0,448338.0,250.748322147651,0.7,188700.0,5270800.0
XGBoost,0.06,0.3,0.07,132090.0,368956.0,501046.0,280.2270693512304,0.7,188700.0,5270800.0
XGBoost,0.06,0.3,0.08,132090.0,421664.0,553754.0,309.70581655480987,0.7,188700.0,5270800.0
Random Forest,0.08,0.4,0.02,54000.0,146280.0,200280.0,112.01342281879195,0.6,90000.0,7314000.0
XGBoost,0.06,0.4,0.03,113220.0,158124.0,271344.0,151.75838926174498,0.6,188700.0,5270800.0
XGBoost,0.06,0.4,0.04,113220.0,210832.0,324052.0,181.2371364653244,0.6,188700.0,5270800.0
XGBoost,0.06,0.4,0.05,113220.0,263540.0,376760.0,210.7158836689038,0.6,188700.0,5270800.0
XGBoost,0.06,0.4,0.06,113220.0,316248.0,429468.0,240.19463087248323,0.6,188700.0,5270800.0
XGBoost,0.06,0.4,0.07,113220.0,368956.0,482176.0,269.67337807606265,0.6,188700.0,5270800.0
XGBoost,0.06,0.4,0.08,113220.0,421664.0,534884.0,299.15212527964206,0.6,188700.0,5270800.0
Random Forest,0.08,0.5,0.02,45000.0,146280.0,191280.0,106.97986577181209,0.5,90000.0,7314000.0
XGBoost,0.06,0.5,0.03,94350.0,158124.0,252474.0,141.20469798657717,0.5,188700.0,5270800.0
XGBoost,0.06,0.5,0.04,94350.0,210832.0,305182.0,170.6834451901566,0.5,188700.0,5270800.0
XGBoost,0.06,0.5,0.05,94350.0,263540.0,357890.0,200.162192393736,0.5,188700.0,5270800.0
XGBoost,0.06,0.5,0.06,94350.0,316248.0,410598.0,229.64093959731542,0.5,188700.0,5270800.0
XGBoost,0.06,0.5,0.07,94350.0,368956.0,463306.0,259.11968680089484,0.5,188700.0,5270800.0
Gradient Boosting,0.01,0.5,0.08,212750.0,289208.0,501958.0,280.7371364653244,0.5,425500.0,3615100.0
XGBoost,0.06,0.6,0.02,75480.0,105416.0,180896.0,101.17225950782998,0.4,188700.0,5270800.0
XGBoost,0.06,0.6,0.03,75480.0,158124.0,233604.0,130.6510067114094,0.4,188700.0,5270800.0
XGBoost,0.06,0.6,0.04,75480.0,210832.0,286312.0,160.1297539149888,0.4,188700.0,5270800.0
XGBoost,0.06,0.6,0.05,75480.0,263540.0,339020.0,189.60850111856823,0.4,188700.0,5270800.0
Gradient Boosting,0.01,0.6,0.06,170200.0,216906.0,387106.0,216.5022371364653,0.4,425500.0,3615100.0
Gradient Boosting,0.01,0.6,0.07,170200.0,253057.0,423257.0,236.72091722595079,0.4,425500.0,3615100.0
Gradient Boosting,0.01,0.6,0.08,170200.0,289208.0,459408.0,256.93959731543623,0.4,425500.0,3615100.0
