model,threshold,recovery_rate,interest_rate,false_negative_loss,false_positive_loss,total_expected_loss,average_expected_loss,loss_given_default,false_negative_loan_value,false_positive_loan_value
Logistic Regression,0.04,0.2,0.02,365360.0,276856.0,642216.0,359.18120805369125,0.8,456700.0,13842800.0
Decision Tree,0.11,0.2,0.02,694800.0,144458.0,839258.0,469.38366890380314,0.8,868500.0,7222900.0
Random Forest,0.08,0.2,0.02,72000.0,146280.0,218280.0,122.08053691275168,0.8,90000.0,7314000.0
Gradient Boosting,0.01,0.2,0.02,340400.0,72302.0,412702.0,230.81767337807605,0.8,425500.0,3615100.0
AdaBoost,0.46,0.2,0.02,181600.0,133054.0,314654.0,175.98098434004476,0.8,227000.0,6652700.0
XGBoost,0.06,0.2,0.02,150960.0,105416.0,256376.0,143.38702460850112,0.8,188700.0,5270800.0
Logistic Regression,0.04,0.2,0.03,365360.0,415284.0,780644.0,436.60178970917224,0.8,456700.0,13842800.0
Decision Tree,0.11,0.2,0.03,694800.0,216687.0,911487.0,509.7802013422819,0.8,868500.0,7222900.0
Random Forest,0.08,0.2,0.03,72000.0,219420.0,291420.0,162.98657718120805,0.8,90000.0,7314000.0
Gradient Boosting,0.01,0.2,0.03,340400.0,108453.0,448853.0,251.03635346756153,0.8,425500.0,3615100.0
AdaBoost,0.46,0.2,0.03,181600.0,199581.0,381181.0,213.1884787472036,0.8,227000.0,6652700.0
XGBoost,0.06,0.2,0.03,150960.0,158124.0,309084.0,172.86577181208054,0.8,188700.0,5270800.0
Logistic Regression,0.04,0.2,0.04,365360.0,553712.0,919072.0,514.0223713646533,0.8,456700.0,13842800.0
Decision Tree,0.11,0.2,0.04,694800.0,288916.0,983716.0,550.1767337807606,0.8,868500.0,7222900.0
Random Forest,0.08,0.2,0.04,72000.0,292560.0,364560.0,203.89261744966444,0.8,90000.0,7314000.0
Gradient Boosting,0.01,0.2,0.04,340400.0,144604.0,485004.0,271.255033557047,0.8,425500.0,3615100.0
AdaBoost,0.46,0.2,0.04,181600.0,266108.0,447708.0,250.39597315436242,0.8,227000.0,6652700.0
XGBoost,0.06,0.2,0.04,150960.0,210832.0,361792.0,202.34451901565996,0.8,188700.0,5270800.0
Logistic Regression,0.04,0.2,0.05,365360.0,692140.0,1057500.0,591.4429530201343,0.8,456700.0,13842800.0
Decision Tree,0.11,0.2,0.05,694800.0,361145.0,1055945.0,590.5732662192394,0.8,868500.0,7222900.0
Random Forest,0.08,0.2,0.05,72000.0,365700.0,437700.0,244.7986577181208,0.8,90000.0,7314000.0
Gradient Boosting,0.01,0.2,0.05,340400.0,180755.0,521155.0,291.4737136465324,0.8,425500.0,3615100.0
AdaBoost,0.46,0.2,0.05,181600.0,332635.0,514235.0,287.60346756152126,0.8,227000.0,6652700.0
XGBoost,0.06,0.2,0.05,150960.0,263540.0,414500.0,231.82326621923937,0.8,188700.0,5270800.0
Logistic Regression,0.04,0.2,0.06,365360.0,830568.0,1195928.0,668.8635346756153,0.8,456700.0,13842800.0
Decision Tree,0.11,0.2,0.06,694800.0,433374.0,1128174.0,630.9697986577181,0.8,868500.0,7222900.0
Random Forest,0.08,0.2,0.06,72000.0,438840.0,510840.0,285.7046979865772,0.8,90000.0,7314000.0
Gradient Boosting,0.01,0.2,0.06,340400.0,216906.0,557306.0,311.6923937360179,0.8,425500.0,3615100.0
AdaBoost,0.46,0.2,0.06,181600.0,399162.0,580762.0,324.8109619686801,0.8,227000.0,6652700.0
XGBoost,0.06,0.2,0.06,150960.0,316248.0,467208.0,261.3020134228188,0.8,188700.0,5270800.0
Logistic Regression,0.04,0.2,0.07,365360.0,968996.0,1334356.0,746.2841163310962,0.8,456700.0,13842800.0
Decision Tree,0.11,0.2,0.07,694800.0,505603.0,1200403.0,671.3663310961969,0.8,868500.0,7222900.0
Random Forest,0.08,0.2,0.07,72000.0,511980.0,583980.0,326.61073825503354,0.8,90000.0,7314000.0
Gradient Boosting,0.01,0.2,0.07,340400.0,253057.0,593457.0,331.91107382550337,0.8,425500.0,3615100.0
AdaBoost,0.46,0.2,0.07,181600.0,465689.0,647289.0,362.0184563758389,0.8,227000.0,6652700.0
XGBoost,0.06,0.2,0.07,150960.0,368956.0,519916.0,290.7807606263982,0.8,188700.0,5270800.0
Logistic Regression,0.04,0.2,0.08,365360.0,1107424.0,1472784.0,823.7046979865772,0.8,456700.0,13842800.0
Decision Tree,0.11,0.2,0.08,694800.0,577832.0,1272632.0,711.7628635346756,0.8,868500.0,7222900.0
Random Forest,0.08,0.2,0.08,72000.0,585120.0,657120.0,367.51677852348996,0.8,90000.0,7314000.0
Gradient Boosting,0.01,0.2,0.08,340400.0,289208.0,629608.0,352.12975391498884,0.8,425500.0,3615100.0
AdaBoost,0.46,0.2,0.08,181600.0,532216.0,713816.0,399.22595078299776,0.8,227000.0,6652700.0
XGBoost,0.06,0.2,0.08,150960.0,421664.0,572624.0,320.2595078299776,0.8,188700.0,5270800.0
Logistic Regression,0.04,0.3,0.02,319690.0,276856.0,596546.0,333.6387024608501,0.7,456700.0,13842800.0
Decision Tree,0.11,0.3,0.02,607950.0,144458.0,752408.0,420.80984340044745,0.7,868500.0,7222900.0
Random Forest,0.08,0.3,0.02,63000.0,146280.0,209280.0,117.04697986577182,0.7,90000.0,7314000.0
Gradient Boosting,0.01,0.3,0.02,297850.0,72302.0,370152.0,207.0201342281879,0.7,425500.0,3615100.0
AdaBoost,0.46,0.3,0.02,158900.0,133054.0,291954.0,163.28523489932886,0.7,227000.0,6652700.0
XGBoost,0.06,0.3,0.02,132090.0,105416.0,237506.0,132.83333333333334,0.7,188700.0,5270800.0
Logistic Regression,0.04,0.3,0.03,319690.0,415284.0,734974.0,411.05928411633107,0.7,456700.0,13842800.0
Decision Tree,0.11,0.3,0.03,607950.0,216687.0,824637.0,461.2063758389262,0.7,868500.0,7222900.0
Random Forest,0.08,0.3,0.03,63000.0,219420.0,282420.0,157.95302013422818,0.7,90000.0,7314000.0
Gradient Boosting,0.01,0.3,0.03,297850.0,108453.0,406303.0,227.2388143176734,0.7,425500.0,3615100.0
AdaBoost,0.46,0.3,0.03,158900.0,199581.0,358481.0,200.4927293064877,0.7,227000.0,6652700.0
XGBoost,0.06,0.3,0.03,132090.0,158124.0,290214.0,162.31208053691276,0.7,188700.0,5270800.0
Logistic Regression,0.04,0.3,0.04,319690.0,553712.0,873402.0,488.47986577181206,0.7,456700.0,13842800.0
