model,threshold_type,threshold,recovery_rate,interest_rate,accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,true_negatives,false_positives,false_negatives,true_positives,false_negative_loss,false_positive_loss,total_expected_loss,average_expected_loss,loss_given_default,false_negative_loan_value,false_positive_loan_value
Logistic Regression,threshold_grid,0.01,0.4,0.04,0.27181208053691275,0.21380981223500908,0.988795518207283,0.351593625498008,0.8903041300377594,133,1298,4,353,66840.0,985448.0,1052288.0,588.5279642058166,0.6,111400.0,24636200.0
Logistic Regression,threshold_grid,0.02,0.4,0.04,0.37527964205816555,0.24043715846994534,0.9859943977591037,0.38660076880834704,0.8903041300377594,319,1112,5,352,83040.0,836296.0,919336.0,514.1700223713647,0.6,138400.0,20907400.0
Logistic Regression,threshold_grid,0.03,0.4,0.04,0.4703579418344519,0.2702492211838006,0.9719887955182073,0.42291285801340645,0.8903041300377594,494,937,10,347,164280.0,695864.0,860144.0,481.0648769574944,0.6,273800.0,17396600.0
Logistic Regression,threshold_grid,0.04,0.4,0.04,0.5626398210290827,0.3076923076923077,0.9523809523809523,0.46511627906976744,0.8903041300377594,666,765,17,340,274020.0,553712.0,827732.0,462.9373601789709,0.6,456700.0,13842800.0
Logistic Regression,threshold_grid,0.05,0.4,0.04,0.6241610738255033,0.33879222108495394,0.927170868347339,0.4962518740629685,0.8903041300377594,785,646,26,331,392880.0,459220.0,852100.0,476.5659955257271,0.6,654800.0,11480500.0
Logistic Regression,threshold_grid,0.06,0.4,0.04,0.6638702460850112,0.36292134831460676,0.9047619047619048,0.5180433039294307,0.8903041300377594,864,567,34,323,442980.0,393024.0,836004.0,467.56375838926175,0.6,738300.0,9825600.0
Logistic Regression,threshold_grid,0.07,0.4,0.04,0.6929530201342282,0.38349514563106796,0.8851540616246498,0.5351397121083827,0.8903041300377594,923,508,41,316,535200.0,349916.0,885116.0,495.0313199105145,0.6,892000.0,8747900.0
Logistic Regression,threshold_grid,0.08,0.4,0.04,0.7158836689038032,0.40182054616384916,0.865546218487395,0.5488454706927176,0.8903041300377594,971,460,48,309,617400.0,316632.0,934032.0,522.3892617449665,0.6,1029000.0,7915800.0
Logistic Regression,threshold_grid,0.09,0.4,0.04,0.738255033557047,0.42344827586206896,0.8599439775910365,0.5674676524953789,0.8903041300377594,1013,418,50,307,644940.0,287932.0,932872.0,521.7404921700223,0.6,1074900.0,7198300.0
Logistic Regression,threshold_grid,0.1,0.4,0.04,0.7600671140939598,0.4467455621301775,0.84593837535014,0.5847047434656341,0.8903041300377594,1057,374,55,302,688260.0,252240.0,940500.0,526.006711409396,0.6,1147100.0,6306000.0
Logistic Regression,threshold_grid,0.11,0.4,0.04,0.7768456375838926,0.4673913043478261,0.8431372549019608,0.6013986013986014,0.8903041300377594,1088,343,56,301,700080.0,226020.0,926100.0,517.9530201342282,0.6,1166800.0,5650500.0
Logistic Regression,threshold_grid,0.12,0.4,0.04,0.790268456375839,0.4854368932038835,0.8403361344537815,0.6153846153846154,0.8903041300377594,1113,318,57,300,710820.0,208476.0,919296.0,514.1476510067114,0.6,1184700.0,5211900.0
Logistic Regression,threshold_grid,0.13,0.4,0.04,0.8025727069351231,0.5033898305084745,0.8319327731092437,0.6272439281942978,0.8903041300377594,1138,293,60,297,747720.0,194904.0,942624.0,527.1946308724832,0.6,1246200.0,4872600.0
Logistic Regression,threshold_grid,0.14,0.4,0.04,0.8098434004474273,0.5147826086956522,0.8291316526610645,0.6351931330472103,0.8903041300377594,1152,279,61,296,751140.0,187896.0,939036.0,525.1879194630873,0.6,1251900.0,4697400.0
Logistic Regression,threshold_grid,0.15,0.4,0.04,0.8154362416107382,0.5242369838420108,0.8179271708683473,0.6389496717724289,0.8903041300377594,1166,265,65,292,808380.0,177976.0,986356.0,551.6532438478747,0.6,1347300.0,4449400.0
Logistic Regression,threshold_grid,0.16,0.4,0.04,0.8232662192393736,0.5381750465549349,0.8095238095238095,0.6465324384787472,0.8903041300377594,1183,248,68,289,865380.0,165008.0,1030388.0,576.2796420581656,0.6,1442300.0,4125200.0
Logistic Regression,threshold_grid,0.17,0.4,0.04,0.8288590604026845,0.5485714285714286,0.8067226890756303,0.6530612244897959,0.8903041300377594,1194,237,69,288,876000.0,158416.0,1034416.0,578.5324384787472,0.6,1460000.0,3960400.0
Logistic Regression,threshold_grid,0.18,0.4,0.04,0.8305369127516778,0.5523255813953488,0.7983193277310925,0.6529209621993127,0.8903041300377594,1200,231,72,285,901920.0,154608.0,1056528.0,590.8993288590603,0.6,1503200.0,3865200.0
Logistic Regression,threshold_grid,0.19,0.4,0.04,0.8344519015659956,0.5603960396039604,0.7927170868347339,0.6566125290023201,0.8903041300377594,1209,222,74,283,944160.0,148196.0,1092356.0,610.937360178971,0.6,1573600.0,3704900.0
Logistic Regression,threshold_grid,0.2,0.4,0.04,0.8411633109619687,0.5740365111561866,0.7927170868347339,0.6658823529411765,0.8903041300377594,1221,210,74,283,944160.0,141444.0,1085604.0,607.1610738255033,0.6,1573600.0,3536100.0
Logistic Regression,threshold_grid,0.21,0.4,0.04,0.8473154362416108,0.5878661087866108,0.7871148459383753,0.6730538922155689,0.8903041300377594,1234,197,76,281,978300.0,131976.0,1110276.0,620.9597315436241,0.6,1630500.0,3299400.0
Logistic Regression,threshold_grid,0.22,0.4,0.04,0.8517897091722595,0.5982905982905983,0.7843137254901961,0.6787878787878788,0.8903041300377594,1243,188,77,280,986220.0,127152.0,1113372.0,622.6912751677852,0.6,1643700.0,3178800.0
Logistic Regression,threshold_grid,0.23,0.4,0.04,0.854586129753915,0.6047516198704104,0.7843137254901961,0.6829268292682927,0.8903041300377594,1248,183,77,280,986220.0,124188.0,1110408.0,621.0335570469799,0.6,1643700.0,3104700.0
Logistic Regression,threshold_grid,0.24,0.4,0.04,0.8579418344519015,0.6136865342163356,0.7787114845938375,0.6864197530864198,0.8903041300377594,1256,175,79,278,1019760.0,118528.0,1138288.0,636.6263982102909,0.6,1699600.0,2963200.0
Logistic Regression,threshold_grid,0.25,0.4,0.04,0.8585011185682326,0.6155555555555555,0.7759103641456583,0.6864931846344485,0.8903041300377594,1258,173,80,277,1044540.0,117360.0,1161900.0,649.8322147651006,0.6,1740900.0,2934000.0
Logistic Regression,threshold_grid,0.26,0.4,0.04,0.8590604026845637,0.6179775280898876,0.7703081232492998,0.685785536159601,0.8903041300377594,1261,170,82,275,1069680.0,115752.0,1185432.0,662.993288590604,0.6,1782800.0,2893800.0
Logistic Regression,threshold_grid,0.27,0.4,0.04,0.8629753914988815,0.6296296296296297,0.7619047619047619,0.6894803548795945,0.8903041300377594,1271,160,85,272,1139940.0,110664.0,1250604.0,699.4429530201343,0.6,1899900.0,2766600.0
Logistic Regression,threshold_grid,0.28,0.4,0.04,0.8640939597315436,0.6350710900473934,0.7507002801120448,0.6880616174582799,0.8903041300377594,1277,154,89,268,1212480.0,106772.0,1319252.0,737.8366890380313,0.6,2020800.0,2669300.0
Logistic Regression,threshold_grid,0.29,0.4,0.04,0.8657718120805369,0.6402877697841727,0.7478991596638656,0.689922480620155,0.8903041300377594,1281,150,90,267,1220160.0,104608.0,1324768.0,740.9217002237136,0.6,2033600.0,2615200.0
Logistic Regression,threshold_grid,0.3,0.4,0.04,0.8640939597315436,0.6390243902439025,0.7338935574229691,0.6831812255541069,0.8903041300377594,1283,148,95,262,1280100.0,102304.0,1382404.0,773.1565995525727,0.6,2133500.0,2557600.0
Logistic Regression,threshold_grid,0.31,0.4,0.04,0.8668903803131991,0.6476426799007444,0.7310924369747899,0.6868421052631579,0.8903041300377594,1289,142,96,261,1302240.0,97716.0,1399956.0,782.9731543624162,0.6,2170400.0,2442900.0
