feature,importance
DEBTINC_missing,0.16961716807145388
DEBTINC,0.1583027701224646
CLAGE,0.10054812683755049
LOAN,0.07613805564710449
VALUE,0.0733138964130074
CLNO,0.0692791138380519
MORTDUE,0.0684827792774415
DELINQ,0.06818812547869188
YOJ,0.05675314541537428
DEROG,0.04197017245834987
NINQ,0.03428666996074249
VALUE_missing,0.015191942604618697
JOB_Other,0.01206639550609021
JOB_Office,0.012016870385606135
REASON_HomeImp,0.010605088072325424
JOB_ProfExe,0.007415270474425359
JOB_Missing,0.0067542584142971296
JOB_Sales,0.006071200583655667
MORTDUE_missing,0.005477393757816739
REASON_Missing,0.004091841746999926
JOB_Self,0.003429714933932021
