feature,permutation_importance_mean,permutation_importance_std
DEBTINC,0.13115331387621437,0.0045802474027111595
CLAGE,0.030589370618967403,0.0025084927402520244
DELINQ,0.0292870747180773,0.0005573678954544284
VALUE,0.02243715096101335,0.0012541371974047802
CLNO,0.015348417494181522,0.0014664738130787164
JOB,0.014235799141459494,0.002499014168441656
DEROG,0.012336674711813479,0.0013257786610676025
MORTDUE,0.011077638602610861,0.0008947554630827991
LOAN,0.010492163322352078,0.0016878254732221288
YOJ,0.01019580438744332,0.0008002846909897422
NINQ,0.00715411251852247,0.0007409475261046276
REASON,0.0019085202215058273,0.0003865429227860564
