rank,feature,clean_feature_label,mean_abs_shap,mean_shap
1,DEBTINC,DEBTINC,0.918661,-0.51458347
2,DEBTINC_missing,DEBTINC missing,0.77979076,-0.28829324
3,CLAGE,CLAGE,0.7225214,-0.41543856
4,DELINQ,DELINQ,0.71675,-0.21528539
5,LOAN,LOAN,0.47348255,-0.32989848
6,MORTDUE,MORTDUE,0.4194713,-0.25105935
7,CLNO,CLNO,0.39642456,-0.2825394
8,DEROG,DEROG,0.38967964,-0.111251794
9,VALUE,VALUE,0.38330445,-0.24305935
10,YOJ,YOJ,0.37030444,-0.25669536
11,JOB_Office,JOB Office,0.26281443,-0.06649289
12,NINQ,NINQ,0.23474932,-0.10737565
13,VALUE_missing,VALUE missing,0.13987842,-0.011322953
14,JOB_Missing,JOB Missing,0.11656717,-0.026413409
15,JOB_Other,JOB Other,0.11412011,-0.042897984
16,REASON_HomeImp,REASON HomeImp,0.07192532,-0.037368193
17,JOB_Sales,JOB Sales,0.05317559,-0.025394129
18,JOB_ProfExe,JOB ProfExe,0.040418595,-0.018507663
19,REASON_Missing,REASON Missing,0.027387103,-0.01056802
20,MORTDUE_missing,MORTDUE missing,0.013152976,-0.004155211
21,JOB_Self,JOB Self,0.012603363,-0.001744993
