feature,importance,gain
DEBTINC_missing,0.38634756,58.71754837036133
DEBTINC,0.07876382,11.970616340637207
DELINQ,0.061811298,9.394152641296387
VALUE_missing,0.05754277,8.745416641235352
DEROG,0.043402005,6.596286773681641
JOB_Sales,0.04083299,6.205844879150391
JOB_Missing,0.033761233,5.131071090698242
JOB_Self,0.030044727,4.566232204437256
CLAGE,0.026989518,4.101898193359375
JOB_Office,0.026727188,4.062028884887695
NINQ,0.021466667,3.262528896331787
VALUE,0.021299578,3.2371344566345215
CLNO,0.021152075,3.214716911315918
MORTDUE,0.020895924,3.1757867336273193
YOJ,0.020217452,3.07267165184021
LOAN,0.020205628,3.0708746910095215
JOB_Other,0.018978663,2.884399175643921
REASON_HomeImp,0.018302113,2.781576156616211
MORTDUE_missing,0.017658107,2.683699369430542
REASON_Missing,0.017501403,2.659883499145508
JOB_ProfExe,0.016099283,2.4467875957489014
