feature,permutation_importance_mean,permutation_importance_std
DEBTINC,0.10476386221854231,0.0051506870989004175
CLAGE,0.0345322755237665,0.0033924634845279122
DELINQ,0.031363544719075744,0.0012458221043322
VALUE,0.025111036727758985,0.0019131619203414006
CLNO,0.021353502966525627,0.001008039159092879
YOJ,0.018045009757921383,0.0015572620555557777
MORTDUE,0.015067913958036172,0.0018060150522473614
LOAN,0.012488181855551516,0.0021687596270625565
JOB,0.012418496399258561,0.0019484533201606698
DEROG,0.007369041257313658,0.0008334266506660241
NINQ,0.005967893796232748,0.0005975322269138293
REASON,0.0017566215864403879,0.0006958581869928801
